Attribute_group	Rank	Fold	Attribute	PosNeg	n
biofilm_forming	species	Fold1	biofilm formation--TRUE	FN	5
biofilm_forming	species	Fold1	biofilm formation--TRUE	TN	16
biofilm_forming	species	Fold10	biofilm formation--FALSE	TP	15
biofilm_forming	species	Fold10	biofilm formation--FALSE	FP	0
biofilm_forming	species	Fold10	biofilm formation--FALSE	FN	2
biofilm_forming	species	Fold10	biofilm formation--FALSE	TN	25
biofilm_forming	species	Fold10	biofilm formation--TRUE	TP	18
biofilm_forming	species	Fold10	biofilm formation--TRUE	FP	0
biofilm_forming	species	Fold10	biofilm formation--TRUE	FN	7
biofilm_forming	species	Fold10	biofilm formation--TRUE	TN	17
biofilm_forming	species	Fold2	biofilm formation--FALSE	TP	12
biofilm_forming	species	Fold2	biofilm formation--FALSE	FP	0
biofilm_forming	species	Fold2	biofilm formation--FALSE	FN	6
biofilm_forming	species	Fold2	biofilm formation--FALSE	TN	25
biofilm_forming	species	Fold2	biofilm formation--TRUE	TP	20
biofilm_forming	species	Fold2	biofilm formation--TRUE	FP	0
biofilm_forming	species	Fold2	biofilm formation--TRUE	FN	5
biofilm_forming	species	Fold2	biofilm formation--TRUE	TN	18
biofilm_forming	species	Fold3	biofilm formation--FALSE	TP	7
biofilm_forming	species	Fold3	biofilm formation--FALSE	FP	0
biofilm_forming	species	Fold3	biofilm formation--FALSE	FN	10
biofilm_forming	species	Fold3	biofilm formation--FALSE	TN	26
biofilm_forming	species	Fold3	biofilm formation--TRUE	TP	23
biofilm_forming	species	Fold3	biofilm formation--TRUE	FP	0
biofilm_forming	species	Fold3	biofilm formation--TRUE	FN	3
biofilm_forming	species	Fold3	biofilm formation--TRUE	TN	17
biofilm_forming	species	Fold4	biofilm formation--FALSE	TP	4
biofilm_forming	species	Fold4	biofilm formation--FALSE	FP	0
biofilm_forming	species	Fold4	biofilm formation--FALSE	FN	9
biofilm_forming	species	Fold4	biofilm formation--FALSE	TN	29
biofilm_forming	species	Fold4	biofilm formation--TRUE	TP	25
biofilm_forming	species	Fold4	biofilm formation--TRUE	FP	0
biofilm_forming	species	Fold4	biofilm formation--TRUE	FN	4
biofilm_forming	species	Fold4	biofilm formation--TRUE	TN	13
biofilm_forming	species	Fold5	biofilm formation--FALSE	TP	10
biofilm_forming	species	Fold5	biofilm formation--FALSE	FP	0
biofilm_forming	species	Fold5	biofilm formation--FALSE	FN	5
biofilm_forming	species	Fold5	biofilm formation--FALSE	TN	27
biofilm_forming	species	Fold5	biofilm formation--TRUE	TP	19
biofilm_forming	species	Fold5	biofilm formation--TRUE	FP	0
biofilm_forming	species	Fold5	biofilm formation--TRUE	FN	8
biofilm_forming	species	Fold5	biofilm formation--TRUE	TN	15
biofilm_forming	species	Fold6	biofilm formation--FALSE	TP	7
biofilm_forming	species	Fold6	biofilm formation--FALSE	FP	0
biofilm_forming	species	Fold6	biofilm formation--FALSE	FN	2
biofilm_forming	species	Fold6	biofilm formation--FALSE	TN	33
biofilm_forming	species	Fold6	biofilm formation--TRUE	TP	26
biofilm_forming	species	Fold6	biofilm formation--TRUE	FP	0
biofilm_forming	species	Fold6	biofilm formation--TRUE	FN	7
biofilm_forming	species	Fold6	biofilm formation--TRUE	TN	9
biofilm_forming	species	Fold7	biofilm formation--FALSE	TP	13
biofilm_forming	species	Fold7	biofilm formation--FALSE	FP	0
biofilm_forming	species	Fold7	biofilm formation--FALSE	FN	3
biofilm_forming	species	Fold7	biofilm formation--FALSE	TN	26
biofilm_forming	species	Fold7	biofilm formation--TRUE	TP	23
biofilm_forming	species	Fold7	biofilm formation--TRUE	FP	0
biofilm_forming	species	Fold7	biofilm formation--TRUE	FN	3
biofilm_forming	species	Fold7	biofilm formation--TRUE	TN	16
biofilm_forming	species	Fold8	biofilm formation--FALSE	TP	1
